"Question","Answer"
"What are the parking charges?","Parking charges depend on vehicle type: 2-wheelers ₹20/hr, 4-wheelers ₹40/hr."
"How can I book a parking slot?","You can book through our mobile app or website using your vehicle number."
"Can I cancel my booking?","Yes, you can cancel within 15 minutes of booking for a full refund."
"Is there CCTV surveillance?","Yes, all parking areas are under 24/7 CCTV monitoring."
"What should I do if I lose my ticket?","Visit the help desk with your vehicle details and ID proof."
"How can I contact parking support?","You can reach us at support@parkinghelp.com or call 1800-555-123."
"What are your operating hours?","Our parking facilities are open 24/7."
"Is electric vehicle charging available?","Yes, EV charging stations are available at select locations."
"Do you provide monthly passes?","Yes, monthly passes are available through our app."
"Can I extend my parking duration?","Yes, you can extend through the app before your slot expires."
"How do I pay for parking using this app?","Open the app, select your parking zone or slot, set the duration, and complete payment via the in-app payment methods."
"Will I get a notification when my parking time is about to end?","Yes, the app will send you a reminder notification X minutes before your parking session ends."
"Can I cancel a parking session once it has started?","No, once your parking session is active the slot is reserved and cannot be cancelled — you can only extend it if allowed."
"What happens if I move my vehicle to a different zone after starting a session?","You should stop the current session and start a new one for the new zone, as the original session is tied to the first zone."
"Can I add multiple vehicles to my account?","Yes — you can register multiple licence plates under your account and select the correct one when initiating a parking session."
"Is online payment secure?","Yes — we use secure payment gateways and store minimal payment details to ensure your transactions are safe."
"What if there’s no signal or offline issues at the parking spot?","We recommend you initiate payment before parking or nearby where signal is good; once the session is confirmed in the app your slot is reserved."
"My vehicle number is 2266 where did i parked my vehicle?","To know where you parked your vehicle please check your ticket slot no or else you can contact the Parking center."
"My vehicle number MH2266 is lost what should i do?","To find your vehicle immediately contact our Office . helpline number is-907786084"
"I am unable to find my vehicle","Please kindly check your ticket there is slot number on given on it. If still could not find you can conact our helpline for further queries."
"Where are  Parking slots near me ?","As per your location there are  nearest parking slots SKN parking and sinhagad parking. "
"Where can I park my vehicle ?","You will have to book your slot throught app or on the gate on ticket you will get your slot number as per that you can park your vehicle."
